ID_Partida,Tipo_IA,Puntuacion_Final,Resultado,Cartas,Plantado
101,IA_facil,21,Empate,6,Si
101,IA_medio,21,Empate,8,Si
101,IA_dificil,17,Derrota,4,Si
102,IA_facil,21,Victoria,9,Si
102,IA_medio,18,Derrota,5,Si
102,IA_dificil,18,Derrota,7,Si
103,IA_facil,19,Empate,7,Si
103,IA_medio,19,Empate,5,Si
103,IA_dificil,19,Empate,4,Si
104,IA_facil,18,Derrota,4,Si
104,IA_medio,18,Derrota,5,Si
104,IA_dificil,21,Victoria,7,Si
105,IA_facil,20,Derrota,9,Si
105,IA_medio,21,Victoria,5,Si
105,IA_dificil,19,Derrota,4,Si
106,IA_facil,19,Empate,4,Si
106,IA_medio,22,Derrota,8,Si
106,IA_dificil,19,Empate,7,Si
107,IA_facil,17,Derrota,4,Si
107,IA_medio,21,Victoria,6,Si
107,IA_dificil,24,Derrota,5,Si
108,IA_facil,19,Derrota,5,Si
108,IA_medio,20,Victoria,5,Si
108,IA_dificil,18,Derrota,4,Si
109,IA_facil,19,Victoria,6,Si
109,IA_medio,17,Derrota,4,Si
109,IA_dificil,17,Derrota,4,Si
110,IA_facil,17,Derrota,5,Si
110,IA_medio,21,Victoria,6,Si
110,IA_dificil,18,Derrota,6,Si
111,IA_facil,22,Derrota,5,Si
111,IA_medio,20,Victoria,6,Si
111,IA_dificil,17,Derrota,4,Si
112,IA_facil,20,Victoria,5,Si
112,IA_medio,18,Derrota,5,Si
112,IA_dificil,18,Derrota,8,Si
113,IA_facil,17,Derrota,5,Si
113,IA_medio,20,Victoria,6,Si
113,IA_dificil,17,Derrota,5,Si
114,IA_facil,17,Derrota,4,Si
114,IA_medio,22,Derrota,5,Si
114,IA_dificil,21,Victoria,5,Si
115,IA_facil,18,Derrota,5,Si
115,IA_medio,20,Victoria,5,Si
115,IA_dificil,18,Derrota,4,Si
116,IA_facil,17,Derrota,6,Si
116,IA_medio,17,Derrota,6,Si
116,IA_dificil,19,Victoria,5,Si
117,IA_facil,17,Empate,5,Si
117,IA_medio,23,Derrota,8,Si
117,IA_dificil,17,Empate,4,Si
118,IA_facil,17,Derrota,5,Si
118,IA_medio,20,Victoria,10,Si
118,IA_dificil,25,Derrota,7,Si
119,IA_facil,17,Derrota,5,Si
119,IA_medio,19,Empate,4,Si
119,IA_dificil,19,Empate,5,Si
120,IA_facil,21,Victoria,6,Si
120,IA_medio,17,Derrota,5,Si
120,IA_dificil,19,Derrota,5,Si
121,IA_facil,21,Victoria,5,Si
121,IA_medio,20,Derrota,5,Si
121,IA_dificil,19,Derrota,5,Si
122,IA_facil,17,Derrota,4,Si
122,IA_medio,20,Empate,6,Si
122,IA_dificil,20,Empate,9,Si
123,IA_facil,22,Derrota,6,Si
123,IA_medio,23,Derrota,5,Si
123,IA_dificil,20,Victoria,4,Si
